Species	Evidence	LLR	nTOT
A.thaliana	DOM	157642.651	10356378
A.thaliana	GIN	7987.565	10791152
A.thaliana	GRG	333.618	10812500
A.thaliana	MEX	62437.001	443384
A.thaliana	MIR	293966.0920000002	8427762
A.thaliana	PEX	1148158.68	5723189
A.thaliana	PHP	167369.27500000002	768873
A.thaliana	PIN	211845.747	10150014
A.thaliana	SCL	0	10816412
A.thaliana	TFB	604121.8059999999	5202158
B.subtilis	DOM	695.992	357612
B.subtilis	GIN	1556.306	352634
B.subtilis	GRG	0	361260
B.subtilis	MEX	24133.671	111842
B.subtilis	MIR	0	361260
B.subtilis	PEX	42074.781	300111
B.subtilis	PHP	9990.92	96112
B.subtilis	PIN	594.573	346475
B.subtilis	SCL	0	361260
B.subtilis	TFB	14537.317	300708
B.taurus	DOM	158824.33599999998	11565131
B.taurus	GIN	0	12000760
B.taurus	GRG	2142.88	11948448
B.taurus	MEX	102062.219	516060
B.taurus	MIR	1545796.2259999998	5910871
B.taurus	PEX	1337937.1139999996	4577718
B.taurus	PHP	705263.0299999998	2176641
B.taurus	PIN	804015.0720000003	11054920
B.taurus	SCL	119411.708	11756998
B.taurus	TFB	746487.0099999998	4969729
C.elegans	DOM	10.448	6309280
C.elegans	GIN	1666.482	6303126
C.elegans	GRG	1916.491	6274192
C.elegans	MEX	49745.197	1947097
C.elegans	MIR	122782.686	4755783
C.elegans	PEX	505263.0429999999	3715065
C.elegans	PHP	82448.949	1517914
C.elegans	PIN	242941.19500000004	5889520
C.elegans	SCL	355223.35800000007	5204798
C.elegans	TFB	352201.151	2408508
C.familiaris	DOM	77537.19499999999	4874984
C.familiaris	GIN	5660.086	5179827
C.familiaris	GRG	7470.456	5133015
C.familiaris	MEX	15641.994	196479
C.familiaris	MIR	72668.21	3956993
C.familiaris	PEX	241600.1220000001	1901296
C.familiaris	PHP	105458.759	575998
C.familiaris	PIN	136464.329	4440181
C.familiaris	SCL	780.891	5190894
C.familiaris	TFB	46946.759999999995	662590
C.intestinalis	DOM	5375.991	572678
C.intestinalis	GIN	0	601552
C.intestinalis	GRG	0	601552
C.intestinalis	MEX	275.197	2987
C.intestinalis	MIR	24.294	601399
C.intestinalis	PEX	10945.276	128461
C.intestinalis	PHP	0	601552
C.intestinalis	PIN	15594.735	475913
C.intestinalis	SCL	0	601552
C.intestinalis	TFB	9250.24	82380
D.melanogaster	DOM	0	3050093
D.melanogaster	GIN	12322.864	2981354
D.melanogaster	GRG	1862.721	3027692
D.melanogaster	MEX	26205.507	144543
D.melanogaster	MIR	89828.702	2332494
D.melanogaster	PEX	295906.6999999999	1264386
D.melanogaster	PHP	57177.719	349296
D.melanogaster	PIN	181310.62	2767656
D.melanogaster	SCL	301461.7540000001	1210156
D.melanogaster	TFB	131607.821	411577
D.discoideum	DOM	0	1318575
D.discoideum	GIN	1844.196	1315326
D.discoideum	GRG	0	1318575
D.discoideum	MEX	6984.098	745803
D.discoideum	MIR	5904.717	1282789
D.discoideum	PEX	61281.487	916549
D.discoideum	PHP	16627.383	70819
D.discoideum	PIN	41839.793	1216758
D.discoideum	SCL	136289.35	979487
D.discoideum	TFB	57901.711	947620
D.rerio	DOM	22104.444	6570090
D.rerio	GIN	2343.64	6697853
