Species	p_count	p_percentage
A.thaliana	20683	0.7521637937304532
B.subtilis	4141	0.9720657276995304
B.taurus	20315	0.8521035191476868
C.elegans	16588	0.8366369092651434
C.familiaris	17493	0.657137490608565
C.intestinalis	4775	0.28627098321342925
D.melanogaster	10767	0.7790319079661385
D.discoideum	8352	0.6562426337707237
D.rerio	17115	0.6524722656398917
E.coli	4264	0.968430615489439
G.gallus	13863	0.7546954107463661
H.sapiens	19299	0.9371631136794056
M.jannaschii	1008	0.5640738668158926
M.musculus	20108	0.9157899530901308
M.tuberculosis	1759	0.44030037546933665
O.sativa	24562	0.56240697914043
P.falciparum	3724	0.6932241250930752
R.norvegicus	18293	0.8000087466106883
S.cerevisiae	6011	0.991914191419142
S.pombe	4204	0.8207731354939477
S.scrofa	15189	0.6650466307631683
S.solfataricus	1082	0.36840313244807626
